district,division,season,year,rainfall_mm_seasonal,temp_max_avg_C,temp_min_avg_C,humidity_avg_pct,dry_spell_days,rainfall_deviation_pct,onset_monsoon_deviation_days,fog_days,soil_type,soil_pH,organic_carbon_pct,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,soil_moisture_pct,ec_dS_m,crop_name,sowing_date_deviation,irrigation_type,seed_variety,fertilizer_kg_ha,pesticide_applications,previous_crop,ndvi_sowing,ndvi_peak,ndvi_delta,ndvi_stress_weeks,humidity_streak_days,temp_disease_window,prev_season_disease,pest_alert_issued,yield_kg_per_hectare,disease_risk_score,disease_risk_label,scenario
Hingoli,Aurangabad,Kharif,2010,549.9,35.3,17.9,66.1,5,12.8,2,0,Medium Black,7.5,0.63,224.0,14.6,400.7,30.4,0.6,Jowar,2,canal,Hybrid,167.8,3,Rice,0.34,0.54,0.2,2,6,2,0,1,1173.1,0.434,Medium,normal
Amravati,Amravati,Kharif,2010,649.7,35.2,14.3,61.1,8,8.3,3,0,Deep Black Cotton,7.1,0.49,221.6,30.2,337.6,34.4,1.08,Soybean,-6,furrow,Hybrid,217.5,1,Grapes,0.37,0.58,0.21,0,6,5,1,0,1163.9,0.299,Medium,normal
Amravati,Amravati,Kharif,2010,677.7,37.9,15.1,61.1,8,13.0,-1,0,Medium Black,7.5,0.43,160.2,18.5,304.1,31.9,0.39,Cotton,1,furrow,HYV,163.0,3,Sugarcane,0.35,0.72,0.37,1,5,5,1,0,469.5,0.447,Medium,normal
Akola,Amravati,Kharif,2010,505.3,38.1,16.6,46.9,8,-15.8,-2,0,Deep Black Cotton,7.6,0.69,217.1,32.4,446.1,33.0,1.02,Soybean,7,rainfed,HYV,145.0,3,Onion,0.26,0.74,0.48,0,2,6,0,0,1384.1,0.106,Low,normal
Akola,Amravati,Kharif,2010,645.1,36.0,17.6,78.5,7,7.5,7,0,Deep Black Cotton,8.4,0.61,247.8,21.2,454.8,35.5,0.77,Cotton,-1,sprinkler,Hybrid,153.1,3,Onion,0.25,0.6,0.35,2,5,6,1,0,439.0,0.622,High,normal
Washim,Amravati,Kharif,2010,552.7,35.3,14.9,54.9,10,-7.9,-6,0,Medium Black,7.3,0.66,234.7,17.7,305.2,34.6,0.52,Soybean,-3,rainfed,BT,228.3,3,Onion,0.38,0.52,0.14,1,4,3,0,0,1395.5,0.252,Medium,normal
Washim,Amravati,Kharif,2010,707.8,38.8,16.5,82.1,9,18.0,-3,0,Deep Black Cotton,8.2,0.74,204.2,34.2,339.4,39.0,1.2,Cotton,-7,furrow,BT,118.7,1,Grapes,0.3,0.78,0.48,3,6,1,1,1,553.5,0.755,Critical,normal
Buldhana,Amravati,Kharif,2010,633.7,37.7,14.7,67.6,3,5.6,3,0,Medium Black,7.5,0.32,230.8,15.2,352.9,31.2,0.35,Soybean,-1,sprinkler,HYV,185.8,2,Jowar,0.5,0.83,0.33,0,0,0,0,0,1968.5,0.0,Low,normal
Buldhana,Amravati,Kharif,2010,629.3,39.0,15.5,68.0,10,4.9,-3,0,Medium Black,6.9,0.68,208.2,19.9,366.0,25.3,0.66,Cotton,-4,rainfed,BT,266.1,5,Jowar,0.3,0.62,0.32,1,1,7,0,0,304.0,0.197,Low,normal
Yavatmal,Amravati,Kharif,2010,680.6,36.3,16.8,75.8,6,13.4,1,0,Deep Black Cotton,7.9,0.42,216.2,29.5,340.1,24.1,0.31,Soybean,-2,furrow,Hybrid,80.3,6,Cotton,0.47,0.79,0.32,0,3,3,1,0,1180.3,0.318,Medium,normal
Yavatmal,Amravati,Kharif,2010,515.9,36.5,15.7,75.2,3,-14.0,-3,0,Medium Black,6.6,0.41,210.2,17.3,392.9,30.2,0.26,Cotton,9,furrow,HYV,178.7,1,Tur Dal,0.37,0.82,0.45,1,14,6,0,1,366.7,0.5,High,normal
Nagpur,Nagpur,Kharif,2010,938.2,39.4,15.8,77.7,8,19.1,-7,0,Deep Black Cotton,7.8,0.68,233.4,25.8,385.9,26.2,0.73,Soybean,-1,drip,Hybrid,256.0,2,Cotton,0.45,0.74,0.29,1,5,7,0,0,1550.3,0.19,Low,normal
Nagpur,Nagpur,Kharif,2010,688.9,36.1,14.6,53.6,7,-12.5,3,0,Red Laterite,6.4,0.33,125.7,13.2,271.1,22.3,0.37,Cotton,-5,furrow,Desi,212.2,4,Grapes,0.38,0.56,0.18,1,6,5,1,0,343.5,0.409,Medium,normal
Nagpur,Nagpur,Kharif,2010,713.2,36.8,14.9,57.1,5,-9.4,0,0,Alluvial,7.2,0.67,211.1,30.2,328.3,34.1,0.35,Rice,0,canal,HYV,235.5,3,Sugarcane,0.29,0.54,0.25,0,1,6,0,1,1935.9,0.155,Low,normal
Wardha,Nagpur,Kharif,2010,827.7,37.5,16.7,69.4,11,5.1,7,0,Red Laterite,6.1,0.3,163.4,18.1,121.4,21.4,0.35,Soybean,-6,rainfed,Hybrid,223.9,1,Onion,0.25,0.59,0.34,0,15,1,1,1,853.0,0.919,Critical,pest_outbreak
Wardha,Nagpur,Kharif,2010,821.1,38.7,13.3,87.8,10,4.3,-3,0,Alluvial,6.9,0.52,296.0,25.3,373.0,38.3,0.54,Cotton,4,canal,Desi,174.1,3,Cotton,0.38,0.77,0.39,0,4,3,0,0,468.3,0.098,Low,normal
Wardha,Nagpur,Kharif,2010,718.5,38.9,13.0,63.4,10,-8.8,0,0,Alluvial,7.0,0.61,242.5,36.2,357.9,26.2,0.57,Rice,3,rainfed,Hybrid,219.1,2,Soybean,0.28,0.64,0.36,0,0,6,0,1,1767.5,0.231,Low,normal
Chandrapur,Nagpur,Kharif,2010,822.3,36.6,15.7,53.1,4,4.4,3,0,Alluvial,7.0,0.87,235.6,29.9,269.0,28.3,0.49,Soybean,5,drip,Desi,213.7,1,Grapes,0.32,0.62,0.3,1,10,6,0,1,1360.3,0.525,High,normal
Chandrapur,Nagpur,Kharif,2010,867.4,36.8,14.3,69.6,8,10.1,1,0,Deep Black Cotton,7.3,0.6,221.9,15.4,458.6,21.4,0.73,Cotton,-2,canal,HYV,128.8,7,Onion,0.33,0.78,0.45,0,6,0,0,1,493.6,0.317,Medium,normal
Chandrapur,Nagpur,Kharif,2010,694.1,36.3,16.5,62.5,5,-11.9,-2,0,Red Laterite,6.8,0.29,214.3,8.6,191.4,13.1,0.39,Rice,7,furrow,Hybrid,239.0,2,Rice,0.46,0.79,0.33,0,7,0,0,0,2030.9,0.094,Low,normal
Gadchiroli,Nagpur,Kharif,2010,802.6,38.1,14.4,75.5,4,1.9,-6,0,Alluvial,7.2,0.94,291.0,31.1,330.8,37.8,0.43,Soybean,6,canal,Desi,147.5,4,Sugarcane,0.3,0.65,0.35,1,2,6,0,1,1367.1,0.391,Medium,normal
Gadchiroli,Nagpur,Kharif,2010,925.8,38.5,14.3,57.1,9,17.6,-5,0,Alluvial,7.2,0.62,251.9,18.7,251.9,20.7,0.55,Cotton,1,drip,Desi,252.4,2,Tur Dal,0.48,0.85,0.37,2,0,0,0,0,624.8,0.231,Low,normal
Gadchiroli,Nagpur,Kharif,2010,944.3,37.0,13.2,63.5,3,19.9,-9,0,Red Laterite,5.8,0.21,196.4,16.7,242.0,12.6,0.43,Rice,3,canal,BT,286.5,3,Sugarcane,0.44,0.65,0.21,1,6,2,1,1,1819.0,0.501,High,normal
Gondia,Nagpur,Kharif,2010,939.1,38.6,16.2,77.2,7,19.2,0,0,Red Laterite,5.6,0.46,217.4,9.0,208.8,24.0,0.42,Soybean,-6,drip,Desi,226.9,2,Jowar,0.26,0.56,0.3,0,3,7,0,0,1216.3,0.129,Low,normal
Gondia,Nagpur,Kharif,2010,814.1,39.3,15.6,48.5,5,3.4,1,0,Deep Black Cotton,8.3,0.66,201.1,32.3,477.2,23.9,0.96,Cotton,3,sprinkler,BT,107.5,1,Soybean,0.41,0.84,0.43,0,3,6,1,1,515.6,0.429,Medium,normal
Gondia,Nagpur,Kharif,2010,702.3,37.9,14.1,49.5,8,-10.8,0,0,Red Laterite,5.8,0.25,145.6,13.0,227.8,13.0,0.18,Rice,-1,furrow,BT,297.1,1,Tur Dal,0.33,0.7,0.37,1,5,1,0,0,1607.6,0.237,Low,normal
Bhandara,Nagpur,Kharif,2010,655.9,37.8,14.2,82.0,8,-16.7,6,0,Red Laterite,6.5,0.58,121.6,15.3,195.3,22.5,0.32,Soybean,0,canal,Hybrid,159.5,4,Grapes,0.48,0.81,0.33,1,5,7,0,1,1847.8,0.412,Medium,normal
Bhandara,Nagpur,Kharif,2010,671.5,39.4,13.7,83.4,11,-14.7,0,0,Deep Black Cotton,8.3,0.72,197.5,28.5,344.1,24.4,1.09,Cotton,-4,drip,BT,212.1,1,Soybean,0.29,0.66,0.37,0,2,7,0,0,452.2,0.068,Low,normal
