district,division,season,year,rainfall_mm_seasonal,temp_max_avg_C,temp_min_avg_C,humidity_avg_pct,dry_spell_days,rainfall_deviation_pct,onset_monsoon_deviation_days,fog_days,soil_type,soil_pH,organic_carbon_pct,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,soil_moisture_pct,ec_dS_m,crop_name,sowing_date_deviation,irrigation_type,seed_variety,fertilizer_kg_ha,pesticide_applications,previous_crop,ndvi_sowing,ndvi_peak,ndvi_delta,ndvi_stress_weeks,humidity_streak_days,temp_disease_window,prev_season_disease,pest_alert_issued,yield_kg_per_hectare,disease_risk_score,disease_risk_label,scenario,rainfall_adequacy_ratio,growing_degree_days,vapour_pressure_deficit,soil_crop_suitability_score,irrigation_efficiency_score,pest_pressure_index,yield_lag_1yr,ndvi_anomaly,crop_name_encoded,irrigation_type_encoded,seed_variety_encoded,previous_crop_encoded,season_encoded,soil_type_Deep Black Cotton,soil_type_Laterite,soil_type_Medium Black,soil_type_Red,soil_type_Red Laterite,division_Aurangabad,division_Konkan,division_Nagpur,division_Nashik,division_Pune
Ahmednagar,Nashik,Year-Round,2010,-0.8168178533050532,1.5412569521073396,2.359725582262675,-0.7763781700824955,-0.8164356693828286,0.2635760851306145,-0.02252552185424372,-0.20729425193692047,Medium Black,7.2,0.58,246.9,24.4,417.4,32.3,0.7,Grapes,-2,furrow,Hybrid,96.0,2,Sugarcane,0.45714285714285713,0.7272727272727273,0.6935483870967744,0.4,5,3,1,0,22004.2,0.591,High,normal,0.125,2532.0,3.57,0.9,0.65,0.5,25000.0,0.046,1,2,3,6,2,False,False,True,False,False,False,False,False,True,False
Dhule,Nashik,Rabi,2010,-0.7837313870901638,-1.9130554167287601,-1.9840277793088046,-1.3967592231664168,-0.13156092019895704,-0.13281444254970784,-0.02252552185424372,5.99926737410342,Red,6.3,0.5,125.9,14.6,295.4,17.8,0.35,Onion,-4,canal,BT,299.1,5,Grapes,0.5999999999999999,0.7636363636363637,0.6451612903225807,0.0,4,0,0,0,12137.5,0.087,Low,normal,0.245,1362.0,2.597,0.8,0.6,0.0,18000.0,0.016,3,0,0,1,1,False,False,False,True,False,False,False,False,True,False
Dhule,Nashik,Year-Round,2010,-0.8110885950860247,1.4298275208545632,1.2950801505049594,-0.49004845327453206,-0.26853587003573137,0.42849769153775585,-0.02252552185424372,-0.20729425193692047,Medium Black,7.5,0.49,248.5,18.8,399.9,22.9,0.7,Grapes,9,canal,HYV,183.1,2,Grapes,0.7714285714285714,0.709090909090909,0.5000000000000001,0.4,7,1,0,0,20247.1,0.29,Medium,normal,0.131,2364.0,3.165,0.9,0.6,0.233,25000.0,-0.014,1,0,2,1,2,False,False,True,False,False,False,False,False,True,False
Nandurbar,Nashik,Rabi,2010,-0.7507881523307501,-1.4301945479667244,-2.324714317471274,-1.7248453570088753,-0.4055108198725057,0.5008317294356249,-0.02252552185424372,5.99926737410342,Medium Black,6.8,0.35,151.5,18.3,368.0,22.8,0.46,Onion,-4,rainfed,Hybrid,200.4,4,Sugarcane,0.39999999999999997,0.9454545454545453,0.9193548387096776,0.0,4,2,0,1,11477.7,0.175,Low,normal,0.302,1392.0,3.057,0.9,0.4,0.267,18000.0,0.155,3,3,3,6,1,False,False,True,False,False,False,False,False,True,False
Nandurbar,Nashik,Year-Round,2010,-0.8385890345373612,0.6126783583341945,1.2524943332346516,-2.3273308027922988,-0.4055108198725057,-0.3642833638228888,-0.02252552185424372,-0.20729425193692047,Medium Black,7.6,0.44,184.8,12.6,359.7,25.7,0.41,Grapes,3,rainfed,HYV,190.8,1,Soybean,0.6285714285714286,0.8,0.6612903225806452,0.2,16,0,1,1,14860.1,1.0,Critical,pest_outbreak,0.099,2226.0,4.797,0.7,0.4,0.0,25000.0,0.075,1,3,2,5,2,False,False,True,False,False,False,False,False,True,False
Jalgaon,Nashik,Rabi,2010,-0.7480667546767116,-2.210200566736167,-1.132311433902632,-1.0925338990579558,-0.9534106192196029,0.5558055982380055,-0.02252552185424372,3.516642723687284,Red,6.2,0.36,139.4,11.2,206.6,10.3,0.23,Onion,-3,drip,HYV,155.4,4,Grapes,0.7142857142857144,0.8363636363636364,0.6451612903225807,0.0,1,15,0,0,17818.4,0.263,Medium,normal,0.307,1434.0,2.265,0.8,1.0,0.5,18000.0,0.099,3,1,2,1,1,False,False,False,True,False,False,False,False,True,False
Jalgaon,Nashik,Year-Round,2010,-0.8042134852231905,1.3183980896017842,1.3802517850455764,-2.4168088392947875,-0.8164356693828286,0.6281396361358745,-0.02252552185424372,-0.20729425193692047,Medium Black,6.6,0.64,155.2,12.3,389.4,34.9,0.74,Grapes,3,drip,Desi,136.7,4,Rice,0.8857142857142857,0.49090909090909074,0.24193548387096775,0.4,5,5,0,0,20894.2,0.344,Medium,normal,0.139,2358.0,5.422,1.0,1.0,0.833,25000.0,-0.091,1,1,1,4,2,False,False,True,False,False,False,False,False,True,False
Pune,Pune,Kharif,2010,0.14698661059100965,-1.3187651167139482,-0.536109992118311,0.11840219494239056,-0.54248576970928,0.5644856827857497,2.562568388263706,-0.20729425193692047,Deep Black Cotton,7.5,0.77,263.1,34.3,324.9,34.6,1.14,Soybean,-3,sprinkler,BT,283.8,1,Sugarcane,0.3714285714285715,0.8727272727272728,0.870967741935484,0.0,4,17,0,1,1309.3,0.434,Medium,normal,1.662,1662.0,1.615,1.0,0.85,2.267,1200.0,0.141,5,4,0,6,0,True,False,False,False,False,False,False,False,False,True
Pune,Pune,Year-Round,2010,-0.7867392476551537,0.7241077895869709,1.2099085159643426,-1.4206200329004142,-0.13156092019895704,0.43139105305367065,-0.02252552185424372,-0.20729425193692047,Medium Black,6.9,0.59,219.4,15.0,425.7,24.9,0.64,Sugarcane,-1,canal,HYV,113.4,3,Grapes,0.8,0.6727272727272728,0.45161290322580644,0.2,0,4,0,0,67385.7,0.089,Low,normal,0.048,2238.0,3.88,0.9,0.6,0.0,80000.0,0.031,6,0,2,1,2,False,False,True,False,False,False,False,False,False,True
Pune,Pune,Kharif,2010,0.08840494530144352,-1.8016259854759824,-0.536109992118311,0.6433400090903246,0.005414029637817257,0.37931054576720497,3.2675940001140558,-0.20729425193692047,Medium Black,7.3,0.31,237.2,28.8,363.0,28.9,0.75,Jowar,-3,canal,Desi,95.2,1,Soybean,0.9428571428571428,0.6545454545454545,0.3548387096774194,0.0,6,0,1,1,1186.2,0.481,Medium,normal,1.767,1584.0,1.105,0.9,0.6,0.0,1000.0,0.021,2,0,1,5,0,False,False,True,False,False,False,False,False,False,True
Satara,Pune,Kharif,2010,-0.17342215530815702,-1.3187651167139482,-0.19542345395584249,-0.8598910041514849,-0.26853587003573137,-0.4510842093003316,-1.1975682082714934,-0.20729425193692047,Medium Black,7.3,0.37,153.4,17.6,406.1,20.6,0.33,Soybean,0,sprinkler,HYV,119.2,3,Sugarcane,0.42857142857142855,0.5454545454545454,0.5483870967741936,0.0,0,17,0,0,1185.5,0.098,Low,normal,1.164,1710.0,2.408,0.9,0.85,0.0,1200.0,-0.049,5,4,2,6,0,False,False,True,False,False,False,False,False,False,True
Satara,Pune,Year-Round,2010,-0.7979113011822592,0.5012489270814181,1.8061099577486628,-1.2476291623289357,-0.54248576970928,0.1652017935895126,-0.02252552185424372,-0.20729425193692047,Deep Black Cotton,7.6,0.51,244.4,23.2,305.1,23.1,0.94,Sugarcane,7,canal,HYV,201.4,2,Jowar,0.3714285714285715,0.8727272727272728,0.870967741935484,0.0,1,5,0,0,68648.9,0.079,Low,normal,0.044,2286.0,3.571,0.7,0.6,0.167,80000.0,0.131,6,0,2,2,2,True,False,False,False,False,False,False,False,False,True
Satara,Pune,Kharif,2010,0.050591841055855714,-1.504480835468576,-1.047139799362015,1.5321551716817114,-1.0903855690563773,0.257789362098785,0.21248301542920622,-0.20729425193692047,Deep Black Cotton,7.2,0.75,244.3,29.1,482.1,32.5,0.6,Jowar,-2,drip,Hybrid,217.3,3,Onion,0.9714285714285713,0.8545454545454545,0.5161290322580646,0.0,8,3,1,0,1162.5,0.303,Medium,normal,1.701,1560.0,0.456,1.0,1.0,0.8,1000.0,0.121,2,1,3,3,0,True,False,False,False,False,False,False,False,False,True
Sangli,Pune,Kharif,2010,0.07737612322981383,-0.7616179604500611,-0.8767965302807804,-0.28723157053555787,0.005414029637817257,0.3445902075762278,-0.02252552185424372,-0.20729425193692047,Medium Black,6.8,0.3,163.7,28.2,424.8,26.9,0.56,Soybean,-12,canal,BT,206.1,4,Grapes,0.8,0.4181818181818182,0.22580645161290325,0.0,3,20,0,0,861.1,0.281,Medium,normal,1.554,1704.0,2.115,0.9,0.6,2.0,1200.0,-0.116,5,0,0,1,0,False,False,True,False,False,False,False,False,False,True
Sangli,Pune,Year-Round,2010,-0.7941872833398906,1.4298275208545632,1.8061099577486628,-2.0827575030188297,-0.9534106192196029,0.25200263906695547,-0.02252552185424372,-0.20729425193692047,Medium Black,7.7,0.36,212.3,20.5,318.9,22.0,0.45,Sugarcane,-8,rainfed,Hybrid,175.7,4,Cotton,0.3714285714285715,0.5636363636363637,0.5967741935483872,0.6000000000000001,2,5,1,1,50706.0,0.775,Critical,normal,0.045,2436.0,5.103,0.7,0.4,0.333,80000.0,-0.036,6,3,3,0,2,False,False,True,False,False,False,False,False,False,True
Sangli,Pune,Kharif,2010,0.1646040796145221,-0.4644728104426532,-0.4509383575776941,0.9893217502332806,-0.9534106192196029,0.6194595515881302,0.9175086272795561,-0.20729425193692047,Deep Black Cotton,7.3,0.63,271.5,15.7,439.5,25.9,1.13,Jowar,5,rainfed,Desi,194.9,4,Rice,0.7714285714285714,0.5818181818181818,0.38709677419354843,0.2,4,6,0,0,979.6,0.156,Low,normal,1.9,1812.0,1.034,1.0,0.4,0.8,1000.0,-0.026,2,3,1,4,0,True,False,False,False,False,False,False,False,False,True
Solapur,Pune,Kharif,2010,0.03139882602211041,-1.4673376917176508,-1.5155837893354098,1.46653794491322,-0.26853587003573137,0.19702877026457497,2.562568388263706,-0.20729425193692047,Medium Black,6.9,0.46,159.2,18.1,354.5,29.6,0.2,Soybean,-1,furrow,Hybrid,143.2,2,Soybean,0.9428571428571428,0.4,0.12903225806451615,0.0,2,13,1,1,1360.7,0.529,High,normal,1.482,1500.0,0.511,0.9,0.65,0.867,1200.0,-0.12,5,2,3,5,0,False,False,True,False,False,False,False,False,False,True
Solapur,Pune,Year-Round,2010,-0.7973383753603563,1.3926843771036368,2.274553947722058,-0.66303932384601,-0.6794607195460542,0.1796686011690864,-0.02252552185424372,-0.20729425193692047,Deep Black Cotton,7.3,0.49,198.6,30.6,370.0,21.2,1.17,Sugarcane,0,rainfed,BT,211.4,3,Soybean,0.39999999999999997,0.8909090909090909,0.870967741935484,0.0,5,0,0,0,53213.3,0.069,Low,normal,0.044,2496.0,3.357,0.9,0.4,0.0,80000.0,0.15,6,3,0,5,2,True,False,False,False,False,False,False,False,False,True
Solapur,Pune,Kharif,2010,0.13108791903320563,-0.39018652294080314,-0.11025181941522554,1.2995122767752414,-0.54248576970928,0.512405175499284,0.44749155271265617,-0.20729425193692047,Medium Black,7.2,0.68,160.9,28.1,448.3,16.2,0.73,Jowar,4,canal,Hybrid,229.2,7,Rice,0.45714285714285713,0.9636363636363636,0.9032258064516131,0.0,5,7,0,0,1058.6,0.185,Low,normal,1.842,1872.0,0.756,0.9,0.6,1.167,1000.0,0.19,2,0,3,4,0,False,False,True,False,False,False,False,False,False,True
Kolhapur,Pune,Kharif,2010,-0.19161255015357237,-0.5759022416954321,-1.1748972511729405,1.5679463862827074,-1.2273605188931516,-0.5089514396186269,-0.9625596709880434,-0.20729425193692047,Medium Black,6.9,0.55,248.1,23.4,302.0,27.7,0.52,Soybean,4,rainfed,Desi,142.3,0,Soybean,0.9714285714285713,0.5818181818181818,0.2741935483870968,0.2,3,11,1,0,1328.3,0.372,Medium,normal,1.136,1692.0,0.492,0.9,0.4,1.1,1200.0,-0.018,5,3,1,5,0,False,False,True,False,False,False,False,False,False,True
Kolhapur,Pune,Year-Round,2010,-0.82426588898979,1.3555412333527106,2.231968130451749,-0.06055387806258633,-0.8164356693828286,-0.4626576553639906,-0.02252552185424372,-0.20729425193692047,Medium Black,7.0,0.63,175.3,12.0,281.8,24.4,0.77,Sugarcane,4,drip,HYV,116.0,3,Grapes,0.45714285714285713,0.4545454545454546,0.45161290322580644,0.4,6,6,1,1,68671.1,0.623,High,normal,0.035,2484.0,2.614,1.0,1.0,1.2,80000.0,-0.088,6,1,2,1,2,False,False,True,False,False,False,False,False,False,True
Kolhapur,Pune,Kharif,2010,0.07107393918888255,-0.6873316729482085,-1.217483068443249,1.4605727424797204,-0.54248576970928,0.3243366769648245,-0.4925425964211436,-0.20729425193692047,Medium Black,7.5,0.64,226.1,23.3,276.2,15.7,0.75,Jowar,6,furrow,Desi,211.6,3,Onion,0.3428571428571429,0.7272727272727273,0.7580645161290324,0.0,6,3,0,0,953.8,0.014,Low,normal,1.737,1668.0,0.58,0.9,0.65,0.6,1000.0,0.062,2,2,1,3,0,False,False,True,False,False,False,False,False,False,True
Chhatrapati Sambhajinagar,Aurangabad,Kharif,2010,-0.2838536074799306,0.35267635207771286,0.741464525990947,0.6910616285583184,-0.9534106192196029,-0.1762148652884293,2.7975769255471556,-0.20729425193692047,Deep Black Cotton,7.5,0.71,274.1,16.4,406.8,37.7,0.37,Soybean,0,rainfed,Desi,167.3,3,Cotton,0.31428571428571433,0.7818181818181817,0.8225806451612904,0.2,5,2,0,0,1480.5,0.271,Medium,normal,0.993,2112.0,1.477,1.0,0.4,0.333,1200.0,0.105,5,3,1,0,0,True,False,False,False,False,True,False,False,False,False
Chhatrapati Sambhajinagar,Aurangabad,Kharif,2010,-0.22999858022106306,0.2783900645758628,0.23043471874724378,0.25560185091287385,-0.6794607195460542,0.046573971437007367,0.44749155271265617,-0.20729425193692047,Deep Black Cotton,7.4,0.46,267.2,19.4,495.2,26.7,0.46,Cotton,3,furrow,Desi,84.6,4,Rice,0.7714285714285714,0.4181818181818182,0.24193548387096775,0.0,8,6,0,0,376.5,0.244,Low,normal,0.692,2028.0,1.909,0.9,0.65,1.6,400.0,-0.095,0,2,1,4,0,True,False,False,False,False,True,False,False,False,False
Chhatrapati Sambhajinagar,Aurangabad,Kharif,2010,-0.2686710731995052,-0.13018451668432152,0.9969794296127994,-1.0746382917574577,0.14238897947459156,-0.11545427345421928,1.622534239129906,-0.20729425193692047,Medium Black,6.8,0.61,190.5,22.8,376.5,22.5,0.51,Tur Dal,6,furrow,Desi,188.3,3,Soybean,0.7714285714285714,0.4181818181818182,0.24193548387096775,0.2,8,4,0,0,865.0,0.21,Low,normal,1.144,2070.0,3.086,1.0,0.65,1.067,800.0,-0.095,7,2,1,5,0,False,False,True,False,False,True,False,False,False,False
Chhatrapati Sambhajinagar,Aurangabad,Kharif,2010,-0.1185645078609596,-0.018755085431545162,-0.15283763668553327,-0.09634509266358188,-0.4055108198725057,0.5066184524674545,-0.4925425964211436,-0.20729425193692047,Medium Black,7.5,0.57,197.5,27.2,411.1,26.7,0.72,Jowar,-1,sprinkler,Desi,107.1,1,Soybean,0.3714285714285715,0.6545454545454545,0.6774193548387097,0.2,4,1,0,0,1426.8,0.197,Low,normal,1.406,1926.0,2.174,0.9,0.85,0.133,1000.0,0.035,2,4,1,5,0,False,False,True,False,False,True,False,False,False,False
Jalna,Aurangabad,Kharif,2010,-0.22140469289252038,0.05553120207030749,0.4433638050987869,-0.836030194417488,-0.8164356693828286,0.08129430962798452,-0.7275511337045936,-0.20729425193692047,Medium Black,7.8,0.4,216.2,29.6,324.9,15.4,0.35,Soybean,9,rainfed,BT,205.5,0,Jowar,0.8571428571428572,0.9454545454545453,0.6612903225806452,0.0,7,4,0,0,1583.7,0.203,Low,normal,1.09,2022.0,2.935,0.6,0.4,0.933,1200.0,0.231,5,3,0,2,0,False,False,True,False,False,True,False,False,False,False
Jalna,Aurangabad,Kharif,2010,-0.15523176046274162,-0.5387590979445058,-0.19542345395584249,-0.9076126236194791,0.2793639293113659,0.35616365363988683,-0.25753405913769367,-0.20729425193692047,Deep Black Cotton,7.6,0.68,218.9,24.0,347.5,27.5,0.5,Cotton,0,canal,Desi,247.1,6,Sugarcane,0.5714285714285714,0.7272727272727273,0.6290322580645162,0.0,2,22,1,0,375.5,0.475,Medium,normal,0.767,1836.0,2.752,1.0,0.6,1.467,400.0,0.111,0,0,1,6,0,True,False,False,False,False,True,False,False,False,False
Jalna,Aurangabad,Kharif,2010,-0.3484509938994765,0.6869646458360471,-0.11025181941522554,-0.9255082309199767,-0.4055108198725057,-0.44529748626850213,-0.9625596709880434,-0.20729425193692047,Deep Black Cotton,8.2,0.61,192.3,32.2,460.0,23.7,0.57,Tur Dal,4,rainfed,HYV,136.4,4,Cotton,0.3714285714285715,0.36363636363636365,0.41935483870967744,0.2,8,2,0,0,798.2,0.269,Medium,normal,1.004,2046.0,3.318,0.8,0.4,0.533,800.0,-0.089,7,3,2,0,0,True,False,False,False,False,True,False,False,False,False
Jalna,Aurangabad,Kharif,2010,-0.29387980936323044,-0.24161394793709784,0.5285354396394039,0.8580872966962971,-0.4055108198725057,-0.21961528802715072,0.21248301542920622,-0.20729425193692047,Medium Black,6.8,0.34,152.4,23.6,371.4,25.9,0.34,Jowar,7,furrow,Desi,140.4,5,Jowar,0.3714285714285715,0.4363636363636364,0.48387096774193555,0.2,0,0,0,0,955.7,0.064,Low,normal,1.1,1986.0,1.194,0.9,0.65,0.0,1000.0,-0.049,2,2,1,2,0,False,False,True,False,False,True,False,False,False,False
Beed,Aurangabad,Kharif,2010,-0.3460160591563894,0.09267434582123382,-0.5786958093886195,0.7387832480263122,0.14238897947459156,-0.433724040204843,-0.7275511337045936,-0.20729425193692047,Deep Black Cotton,7.1,0.78,243.5,30.1,334.1,28.2,0.68,Soybean,0,rainfed,Hybrid,156.5,4,Jowar,0.31428571428571433,0.8363636363636364,0.870967741935484,0.2,3,6,1,0,1389.4,0.42,Medium,normal,0.897,1884.0,1.374,1.0,0.4,0.6,1200.0,0.147,5,3,3,2,0,True,False,False,False,False,True,False,False,False,False
Beed,Aurangabad,Kharif,2010,-0.3477348366220979,-0.5016159541935795,-0.32318090576676795,-0.35284879730404917,-0.26853587003573137,-0.44240412475258734,2.7975769255471556,-0.20729425193692047,Deep Black Cotton,7.7,0.8,265.1,19.2,486.1,22.3,1.04,Cotton,4,rainfed,Desi,111.1,3,Rice,0.7714285714285714,0.5818181818181818,0.38709677419354843,0.4,4,23,1,0,349.0,0.685,High,normal,0.575,1824.0,2.259,1.0,0.4,3.067,400.0,0.007,0,3,1,4,0,True,False,False,False,False,True,False,False,False,False
Beed,Aurangabad,Kharif,2010,-0.31651037932839277,0.05553120207030749,-0.025080184874607076,-0.8181345871169905,-1.0903855690563773,-0.31220285653642305,0.44749155271265617,-0.20729425193692047,Deep Black Cotton,7.9,0.77,267.6,20.6,470.3,20.0,0.32,Tur Dal,0,canal,BT,113.4,1,Cotton,0.42857142857142855,0.6727272727272728,0.6612903225806452,0.2,3,6,0,0,773.1,0.174,Low,normal,1.06,1956.0,2.917,0.7,0.6,0.6,800.0,0.057,7,0,0,0,0,True,False,False,False,False,True,False,False,False,False
Beed,Aurangabad,Kharif,2010,-0.19275840179737808,0.24124692082493648,-0.32318090576676795,-0.6153177043780163,-0.13156092019895704,0.19992213178048973,-0.4925425964211436,-0.20729425193692047,Deep Black Cotton,8.2,0.69,256.9,15.2,383.2,29.6,0.32,Jowar,4,drip,BT,216.2,3,Sugarcane,0.9714285714285713,0.6727272727272728,0.3548387096774194,0.0,2,6,0,0,1308.3,0.048,Low,normal,1.276,1944.0,2.79,0.8,1.0,0.4,1000.0,0.057,2,1,0,6,0,True,False,False,False,False,True,False,False,False,False
Latur,Aurangabad,Kharif,2010,-0.27468679432948506,0.3898194958286392,0.1026772669363176,-0.27530116566855917,0.14238897947459156,-0.13860116558153737,-0.02252552185424372,-0.20729425193692047,Medium Black,7.1,0.45,195.0,16.1,427.9,24.0,0.73,Soybean,4,drip,Hybrid,192.7,1,Soybean,0.8285714285714285,0.7818181818181817,0.5322580645161291,0.2,5,7,0,0,1443.8,0.227,Low,normal,1.007,2028.0,2.496,0.9,1.0,1.167,1200.0,0.122,5,1,3,5,0,False,False,True,False,False,True,False,False,False,False
Latur,Aurangabad,Kharif,2010,-0.21180818537564772,0.5383920708323419,-0.5786958093886195,-0.15599711699857433,-0.4055108198725057,0.12180137085079118,1.1525171645630061,-0.20729425193692047,Deep Black Cotton,7.9,0.71,244.4,25.6,308.4,39.4,1.02,Cotton,7,rainfed,Hybrid,215.6,1,Soybean,0.9428571428571428,0.509090909090909,0.22580645161290325,0.0,10,4,0,0,311.4,0.201,Low,normal,0.71,1956.0,2.424,1.0,0.4,1.333,400.0,-0.028,0,3,3,5,0,True,False,False,False,False,True,False,False,False,False
